molecule_id,generation_mode,source,isomeric_SMILES,canonical_SMILES,parent_id,experimental_status,created_at,summary_file,reinvent_Score
REV-DE_NOVO-0,reinvent_de_novo,reinvent4_staged_learning,Cc1cccc(NC(=O)C2=C(N)CC(C)(C)CC2=O)c1,Cc1cccc(NC(=O)C2=C(N)CC(C)(C)CC2=O)c1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.5656465
REV-DE_NOVO-1,reinvent_de_novo,reinvent4_staged_learning,CCCc1cc(N)n[nH]1,CCCc1cc(N)n[nH]1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.0068745
REV-DE_NOVO-2,reinvent_de_novo,reinvent4_staged_learning,C=CCS(=O)(=O)CC(=C)C,C=CCS(=O)(=O)CC(=C)C,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.0002488
REV-DE_NOVO-3,reinvent_de_novo,reinvent4_staged_learning,CCS(=O)(=O)Cc1noc([C@@H]2CCCN(CC3CC3)C2)n1,CCS(=O)(=O)Cc1noc([C@@H]2CCCN(CC3CC3)C2)n1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.0181848
REV-DE_NOVO-4,reinvent_de_novo,reinvent4_staged_learning,COC[C@@]1(C(=O)NC(Cc2ccccc2)c2cccnc2)CSc2ccccc2C1,COC[C@@]1(C(=O)NC(Cc2ccccc2)c2cccnc2)CSc2ccccc2C1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.5130763
REV-DE_NOVO-5,reinvent_de_novo,reinvent4_staged_learning,COC[C@]1(C)C=C(C)c2cc(OC)ccc2[C@@H]1c1ccc(OC)c(O)c1,COC[C@]1(C)C=C(C)c2cc(OC)ccc2[C@@H]1c1ccc(OC)c(O)c1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.0203827
REV-DE_NOVO-6,reinvent_de_novo,reinvent4_staged_learning,Cc1cccc(N2CCC(N3CCCC3)CC2)c1F,Cc1cccc(N2CCC(N3CCCC3)CC2)c1F,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.0200608
REV-DE_NOVO-7,reinvent_de_novo,reinvent4_staged_learning,N#CC1=C(C2CCCCC2)N=c2s/c(=C\c3ccc([N+](=O)[O-])s3)c(=O)n2[C@H]1c1ccccc1F,N#CC1=C(C2CCCCC2)N=c2s/c(=C\c3ccc([N+](=O)[O-])s3)c(=O)n2[C@H]1c1ccccc1F,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.5670225
REV-DE_NOVO-8,reinvent_de_novo,reinvent4_staged_learning,Cn1cnc(S(=O)(=O)NCC(C)(O)CO)c1,Cn1cnc(S(=O)(=O)NCC(C)(O)CO)c1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.1013259
REV-DE_NOVO-9,reinvent_de_novo,reinvent4_staged_learning,Nc1cccc(NC(=O)C2Cc3ccccc3C2)n1,Nc1cccc(NC(=O)C2Cc3ccccc3C2)n1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.5716173
REV-DE_NOVO-10,reinvent_de_novo,reinvent4_staged_learning,CCC(C)/C=C\O,CCC(C)/C=C\O,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,4.44e-05
REV-DE_NOVO-11,reinvent_de_novo,reinvent4_staged_learning,c1ccc(Sc2cccc(C3CNC3)n2)cc1,c1ccc(Sc2cccc(C3CNC3)n2)cc1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.5602015
REV-DE_NOVO-12,reinvent_de_novo,reinvent4_staged_learning,Nc1ncnc2c1nnn2CC(=O)NCc1ccc2c(c1)OCO2,Nc1ncnc2c1nnn2CC(=O)NCc1ccc2c(c1)OCO2,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.5852982
REV-DE_NOVO-13,reinvent_de_novo,reinvent4_staged_learning,O=C(OC[C@@H](OC(=O)c1c(F)nc(F)c(F)c1F)[C@H](COCc1ccccc1)OCc1ccccc1)c1ccccc1,O=C(OC[C@@H](OC(=O)c1c(F)nc(F)c(F)c1F)[C@H](COCc1ccccc1)OCc1ccccc1)c1ccccc1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.007046
REV-DE_NOVO-14,reinvent_de_novo,reinvent4_staged_learning,CN(c1ccc(Br)cc1F)C1CCC(CN)CC1,CN(c1ccc(Br)cc1F)C1CCC(CN)CC1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.6334114
REV-DE_NOVO-15,reinvent_de_novo,reinvent4_staged_learning,Cc1ccc(C(=O)NCC(=O)N2CC3(CCCC3)C2)cc1,Cc1ccc(C(=O)NCC(=O)N2CC3(CCCC3)C2)cc1,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.553899
REV-DE_NOVO-16,reinvent_de_novo,reinvent4_staged_learning,CC(N)CCCC(C)(C)C(=O)Nc1ncc(Br)cc1F,CC(N)CCCC(C)(C)C(=O)Nc1ncc(Br)cc1F,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.1087932
REV-DE_NOVO-17,reinvent_de_novo,reinvent4_staged_learning,CCOc1ccc(S(=O)(=O)NCc2ccccc2Cl)cc1NC(C)=O,CCOc1ccc(S(=O)(=O)NCc2ccccc2Cl)cc1NC(C)=O,NA,untested,2026-09-10T23:15:26Z,de_novo_1.csv,0.5521041
